# Chromatin Architecture Emerges during Zygotic Genome Activation Independent of Transcription
# Clemens B Hug, Alexis G Grimaldi, Kai Kruse, Juan M Vaquerizas
# http://dx.doi.org/10.1016/j.cell.2017.03.024
#
# List of consensus boundary calls for Drosophila melanogaster embryos at nuclear cycle 12, 13, 14 and at 3-4hpf
# NA denotes boundaries not called or called with a score <0.5 at this stage
#
chrom	start	end	c12	c13	c14	3-4h
2L	102500	107500	NA	NA	0.526444279825	0.745400503816
2L	162500	167500	NA	0.586333709186	0.742995543109	NA
2L	275000	280000	NA	0.789051590547	1.26707298209	1.28312870337
2L	415000	420000	NA	NA	0.69536646903	1.19323180989
2L	590000	595000	NA	0.585008302597	1.04572373132	1.59824860558
2L	715000	720000	NA	NA	NA	0.959559357369
2L	842500	847500	0.51731450057	0.883437878436	1.78626595493	2.23565299601
2L	1180000	1185000	0.626549304188	0.666970722487	NA	1.46187470711
2L	1390000	1395000	NA	0.846125654085	1.12800931351	2.10779617696
2L	1510000	1515000	0.662693615368	1.01587864063	1.42340108942	1.80637134008
2L	1615000	1620000	NA	NA	0.660285867677	0.784524688321
2L	1715000	1720000	NA	NA	NA	1.02841587669
2L	1880000	1885000	NA	NA	NA	0.915933951048
2L	1975000	1980000	NA	NA	NA	0.99286969395
2L	2155000	2160000	NA	NA	NA	0.701392065321
2L	2215000	2220000	NA	NA	NA	1.38230442922
2L	2365000	2370000	NA	0.679383701761	1.59552661153	1.70843767502
2L	2460000	2465000	NA	NA	0.822316772446	NA
2L	2485000	2490000	NA	NA	NA	0.615676498032
2L	2575000	2580000	NA	0.896638826925	1.23078889049	0.84670545729
2L	2742500	2747500	0.71447628788	1.51352563453	2.46867972437	2.33750322935
2L	2865000	2870000	NA	0.989019920982	1.82839390792	3.00010715137
2L	2980000	2985000	NA	0.648625786746	1.37513621736	1.76094256632
2L	3160000	3165000	NA	NA	0.938299152257	1.77976484712
2L	3295000	3300000	NA	NA	NA	0.653316988971
2L	3460000	3465000	NA	0.974691875709	1.6091387431	1.77001474243
2L	3520000	3525000	NA	NA	0.55404437006	1.71159618978
2L	3617500	3622500	0.520772113454	0.904356466343	1.48097430877	2.3915852051
2L	3797500	3802500	NA	NA	0.534347586538	1.35533758633
2L	3865000	3870000	NA	NA	0.930822090528	2.02843794128
2L	4025000	4030000	NA	0.639302983451	1.16141172715	1.25295295185
2L	4085000	4090000	NA	NA	NA	0.632111914092
2L	4215000	4220000	NA	NA	NA	1.32777654679
2L	4280000	4285000	NA	0.599751989748	0.514550820182	NA
2L	4370000	4375000	NA	0.540942113356	0.877941529404	1.60632139897
2L	4455000	4460000	0.645630129207	1.34459628145	2.0105263717	2.13651091454
2L	4685000	4690000	0.63474455831	NA	NA	NA
2L	4812500	4817500	0.581857198803	1.1616015399	2.23961092444	2.66708657228
2L	4980000	4985000	NA	0.75878515609	0.973745967931	1.14724044814
2L	5060000	5065000	NA	0.828234810347	1.0425157054	1.48546234943
2L	5230000	5235000	NA	NA	NA	1.08600481695
2L	5270000	5275000	1.01586013594	1.9166253932	1.20090259599	NA
2L	5360000	5365000	NA	NA	NA	1.09966572706
2L	5537500	5542500	1.21977579571	1.20931605092	1.09455290461	2.23510002416
2L	5715000	5720000	NA	0.635097619248	0.825903595663	1.29452017396
2L	5795000	5800000	NA	NA	NA	0.945775977893
2L	5885000	5890000	NA	NA	0.556859107036	NA
